method,seed,front_index,is_selected,raw_f1_iv,raw_f2_deg,raw_f3_cta,constraint_aware_f1_iv,constraint_aware_f2_deg,constraint_aware_f3_cta,norm_f1_iv,norm_f2_deg,norm_f3_cta,normalized_average
Knowledge-constrained NSGA-II,42,88,False,0.07108970731496811,0.008703899569809437,0.3300660252571106,0.07108970731496811,0.008703899569809437,0.3300660252571106,0.07930777187154225,0.08310797991039669,0.1688153288817906,0.11041036022124318
Knowledge-constrained NSGA-II,42,89,False,0.06603052467107773,0.007741137407720089,0.45395901799201965,0.06603052467107773,0.007741137407720089,0.45395901799201965,0.07366374099657418,0.07391517870862875,0.23218154871129545,0.12658682280549946
Knowledge-constrained NSGA-II,42,90,False,0.07567347586154938,0.007920079864561558,0.3896152079105377,0.07567347586154938,0.007920079864561558,0.3896152079105377,0.0844214301483105,0.07562378598161265,0.19927231047039642,0.1197725088667732
Knowledge-constrained NSGA-II,42,91,False,0.12737183272838593,0.00702950032427907,0.37992843985557556,0.12737183272838593,0.00702950032427907,0.37992843985557556,0.14209618571261384,0.06712021054984468,0.19431792313614646,0.13451143979953498
Knowledge-constrained NSGA-II,42,92,False,0.061811383813619614,0.009617227129638195,0.3143513798713684,0.061811383813619614,0.009617227129638195,0.3143513798713684,0.06895686185393438,0.09182876165713759,0.1607779277982096,0.10718785043642719
Knowledge-constrained NSGA-II,42,93,False,0.0728548914194107,0.008146269246935844,0.3705650866031647,0.0728548914194107,0.008146269246935844,0.3705650866031647,0.08127701360222146,0.07778352398129167,0.1895289493012574,0.11619649562825685
Knowledge-constrained NSGA-II,42,94,False,0.13069552183151245,0.00626489520072937,0.363879531621933,0.13069552183151245,0.00626489520072937,0.363879531621933,0.14580409768916502,0.059819484393976816,0.18610956021983116,0.130577714100991
Knowledge-constrained NSGA-II,42,95,False,0.06855116039514542,0.007622332777827978,0.43157482147216797,0.06855116039514542,0.007622332777827978,0.43157482147216797,0.07647576555717508,0.07278078914965642,0.22073294386228126,0.12332983285637093
Knowledge-constrained NSGA-II,42,96,False,0.13178572058677673,0.0066636488772928715,0.33856549859046936,0.13178572058677673,0.0066636488772928715,0.33856549859046936,0.14702032486807387,0.06362692866366775,0.17316246332246887,0.12793657228473684
Knowledge-constrained NSGA-II,42,97,False,0.06014944240450859,0.008659894578158855,0.35505759716033936,0.06014944240450859,0.008659894578158855,0.35505759716033936,0.06710279781124989,0.08268780434050167,0.18159750004536326,0.11046270073237159
Knowledge-constrained NSGA-II,42,98,False,0.06095285713672638,0.008454377762973309,0.3614390194416046,0.06095285713672638,0.008454377762973309,0.3614390194416046,0.06799908835326411,0.08072545548632445,0.18486133763757293,0.1111952938257205
Knowledge-constrained NSGA-II,42,99,False,0.12040898948907852,0.007259934209287167,0.3612452745437622,0.12040898948907852,0.007259934209287167,0.3612452745437622,0.1343284285497702,0.06932047659523367,0.1847622450132322,0.12947038338607872
Knowledge-constrained NSGA-II,42,100,False,0.06252604722976685,0.008956284262239933,0.30747976899147034,0.06252604722976685,0.008956284262239933,0.30747976899147034,0.06975414130989871,0.08551784020117491,0.1572633787023611,0.10417845340447825
Knowledge-constrained NSGA-II,42,101,False,0.05982968211174011,0.0095713185146451,0.33905574679374695,0.05982968211174011,0.0095713185146451,0.33905574679374695,0.06674607280406843,0.09139040960333007,0.1734132053114559,0.11051656257295146
